index,forest_length,likelihood,prior,posterior,merged_leaves
147,0.927086,-1754.49,-2.31148,-1756.81,3
148,0.961462,-1757.83,-2.31228,-1760.14,3
149,1.00124,-2336.16,-4.61975,-2340.78,4
150,0.945246,-1629.09,-2.31276,-1631.4,3
151,0.942866,-2336.81,-4.62585,-2341.44,4
152,0.201391,-1025.1,-2.31684,-1027.42,2
153,0.872233,-1756.46,-2.31269,-1758.78,3
154,0.841824,-1756.68,-2.31103,-1758.99,3
155,1.00951,-2336.18,-4.62218,-2340.8,4
156,0.544463,-1497.11,-2.33044,-1499.44,3
157,0.988898,-2336.23,-4.6129,-2340.84,4
158,0.610166,-1495.76,-2.32878,-1498.09,3
159,0.934759,-1630.4,-2.31215,-1632.71,3
160,0.220793,-1025.39,-2.31321,-1027.7,2
161,0.691463,-1499.53,-2.32662,-1501.86,3
162,0.980322,-2336.4,-4.62258,-2341.02,4
163,0.96551,-2336.65,-4.61855,-2341.27,4
164,0.604317,-1495.85,-2.33617,-1498.18,3
165,1.03926,-1755.83,-2.31134,-1758.14,3
166,1.06673,-1755.43,-2.31038,-1757.74,3
167,0.55025,-1496.97,-2.32593,-1499.3,3
168,1.10226,-1857.07,-2.30341,-1859.37,3
169,0.919012,-1755.39,-2.31086,-1757.7,3
170,0.185002,-1025.45,-2.31802,-1027.77,2
171,0.616021,-1495.78,-2.33025,-1498.11,3
172,0.999565,-1754.25,-2.31185,-1756.56,3
173,0.193405,-1025.2,-2.32003,-1027.52,2
174,0.216872,-1025.27,-2.31288,-1027.59,2
175,1.01396,-1630.68,-2.31321,-1632.99,3
176,0.950291,-2336.63,-4.61423,-2341.24,4
177,0.871022,-1755.58,-2.30974,-1757.89,3
178,0.93097,-2336.96,-4.62242,-2341.59,4
179,0.837259,-1631.84,-2.31173,-1634.15,3
180,0.847182,-1633.03,-2.311,-1635.34,3
181,0.476386,-1498.53,-2.334,-1500.86,3
182,0.211306,-1025.16,-2.31765,-1027.48,2
183,0.95775,-1630.28,-2.31348,-1632.59,3
184,0.918972,-1754.22,-2.31258,-1756.54,3
