index,forest_length,likelihood,prior,posterior,leaves
145,3.08466,-5102.62,-41.7766,-5144.4,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
146,3.33885,-5118.65,-41.8044,-5160.45,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
147,3.33144,-5275.05,-41.7851,-5316.83,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
148,3.39362,-5278.55,-41.7908,-5320.34,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
149,3.09237,-5031.44,-41.7892,-5073.22,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
150,3.52399,-5357.1,-41.8074,-5398.91,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
151,3.25277,-5036.25,-41.7874,-5078.04,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
152,3.2852,-5103.72,-41.7947,-5145.52,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
153,3.14086,-5233.12,-41.7792,-5274.9,"{t1|t10|t2|t3|t4|t5|t6|t8|t9}|{t7}"
154,2.8826,-5006.98,-41.7791,-5048.76,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
155,3.12652,-5058.96,-41.7953,-5100.75,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
156,2.58519,-4931.03,-41.792,-4972.82,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
157,3.45951,-5029.8,-41.8193,-5071.62,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
158,2.56505,-4933.25,-41.784,-4975.03,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
159,3.45508,-5355.6,-41.7974,-5397.4,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
160,3.39212,-5099.7,-41.8055,-5141.51,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
161,3.08672,-5038.4,-41.7748,-5080.18,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
162,2.98927,-5030.7,-41.7681,-5072.47,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
163,3.46643,-5036.56,-41.808,-5078.37,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
164,2.65394,-4930.11,-41.7762,-4971.89,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
165,3.39933,-5275.3,-41.7957,-5317.09,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
166,2.92204,-5003.75,-41.7795,-5045.53,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
167,2.55948,-4933.11,-41.7783,-4974.89,"{t10|t6|t9}|{t1|t2|t3|t4|t5|t7|t8}"
